,city,state_code,latitud,longitud
265,Carlsbad,CA,33.09568,-117.244034
266,Marina del Rey,CA,33.977854,-118.445271
270,New York,NY,40.740337,-73.993127
271,Reno,NV,39.530368,-119.81439
272,Sunnyvale,CA,37.369195,-122.036849
273,Oakland,CA,37.8136086,-122.2966496
276,Cambridge,MA,42.364367,-71.078978
277,,,-37.797384,175.2604
278,Tel Aviv,,32.0554,34.7595
280,New York,NY,40.756799,-73.976348
281,Mill Valley,CA,37.904468,-122.542491
283,Van Nuys,CA,34.210785,-118.474261
285,Mountain View,CA,37.401355,-122.104099
286,Needham,MA,42.304545,-71.220187
287,San Francisco,CA,37.792262,-122.403486
288,Montreal,,45.500277,-73.560084
289,Santa Clara,CA,37.396312,-121.961396
291,Redwood City,CA,37.502742,-122.211281
292,Wellington,,-41.28648,174.776217
295,Mountain View,CA,37.39248,-122.072612
296,San Francisco,CA,37.775196,-122.419204
298,Boston,MA,42.354022,-71.140762
299,Berkeley,CA,37.862209,-122.298168
300,Madrid,,40.530724,-3.632687
301,Poughkeepsie,NY,41.705555,-73.938638
302,,,37.09024,-95.712891
303,,OR,45.3085,-122.77941
305,Baghdad,,28.208654,-82.193515
306,,CA,32.856744,-117.20717
307,San Francisco,CA,37.856331,-122.495222
308,Norderstedt,,53.707739,10.023246
309,,CA,37.408826,-122.29522
310,Palo Alto,CA,37.443058,-122.161674
311,,,37.09024,-95.712891
312,Mountain View,CA,37.386175,-122.083487
313,Mountain View,CA,37.09024,-95.712891
314,Seattle,WA,47.649027,-122.346299
316,San Francisco,CA,37.782809,-122.394354
317,Seattle,WY,47.5984767,-122.3331466
319,New York,NY,40.743808,-73.983626
320,Seattle,WA,47.610571,-122.341769
321,San Mateo,CA,37.553743,-122.300246
322,Framingham,MA,42.288291,-71.52679
324,London,,51.520779,-0.10759
325,London,,51.54202,-0.0558343
328,Berkeley,CA,37.872222,-122.268403
329,Denver,CO,39.755092,-104.988123
330,San Francisco,CA,37.772542,-122.430127
332,Saratoga,CA,37.2572451,-122.0341004
333,Conshohocken,PA,40.09665,-75.298032
334,Redwood City,CA,37.486571,-122.229161
335,Mountain View,CA,37.388095,-122.08276
338,HELSINKI,,60.1760995,24.9279199
342,New York,NY,40.741266,-73.990753
343,San Francisco,CA,37.787249,-122.3990501
344,Chicago,IL,41.8831959,-87.6517774
345,Kfar-Saba,,32.1618634,34.9341664
346,Paris,,48.8743443,2.3226888
347,London,,51.5150129,-0.1326786
348,Burlingame,CA,37.590056,-122.347654
349,Paris,,48.8599791,2.3608064
351,San Francisco,CA,37.791733,-122.398398
352,Mountain View,CA,37.43938,-122.158804
353,San Francisco,CA,37.787126,-122.39783
355,Montreal,,45.545447,-73.639076
356,New York,NY,40.757929,-73.985506
357,San Francisco,CA,37.786906,-122.397672
358,Los Altos,CA,37.351894,-122.085807
359,New York,NY,40.755446,-73.980246
361,Silver Spring,MD,39.016745,-77.023821
363,Atlanta,GA,33.756806,-84.392198
364,New York,NY,40.718888,-74.001169
370,,MO,38.977092,-94.370901
371,Campbell,CA,37.279132,-121.956295
372,New York,NY,40.7550005,-73.9717364
373,Berlin,,52.523402,13.398694
374,Brussels,,50.837051,4.367612
375,Lincoln,MA,42.402378,-71.288568
376,Los Angleles,CA,34.064139,-118.468672
377,Tel Aviv,,32.0554,34.7595
378,San Francisco,CA,37.794643,-122.401144
382,Emeryville,CA,37.838225,-122.296411
383,,,37.09024,-95.712891
384,Copenhagen,,55.6839208,12.571492
386,London,,51.5111369,-0.1247662
387,San Francisco,CA,37.781262,-122.394958
388,Montreal,,45.5049305,-73.5681635
389,Denver,CO,39.738499,-105.158645
390,San Mateo,CA,37.530893,-122.245087
391,Ann Arbor,MI,42.277416,-83.733276
392,San Francisco,CA,37.7726402,-122.4099154
393,New York,NY,37.636288,-122.42689
397,Seattle,WA,47.6018824,-122.3355636
398,Santa Clara,CA,37.385216,-121.972128
399,Santa Clara,CA,37.4069445,-121.9797628
400,Seattle,WA,47.620716,-122.347533
401,Amsterdam,,37.09024,-95.712891
402,Marina del Rey,CA,33.971132,-118.455798
403,Berkeley,CA,37.872228,-122.244743
405,Seattle,WA,47.603577,-122.335333
408,Toronto,,43.670233,-79.386755
409,Helsinki,,52.146853,-1.721287
413,Chelmsford,MA,42.591704,-71.319348
414,San Francisco,CA,37.803847,-122.402468
415,Venice,CA,33.999004,-118.472297
416,Hamden,CT,41.355252,-72.930855
417,New York,NY,38.984172,-77.095965
418,Greenwood Village,CO,39.613859,-104.894986
419,Sunnyvale,CA,37.368594,-122.034021
422,Atlanta,GA,33.7759,-84.3927
424,New York City,NY,40.757929,-73.985506
425,Shanghai,,31.2006566,121.4384701
427,Vancouver,,49.2753229,-123.1208785
434,Mumbai,,19.0627565,72.8545019
435,New York,NY,40.755861,-73.996272
436,Toronto,,43.744031,-79.435661
437,Long Island City,NY,40.7473113,-73.9549182
438,"Victoria, BC",,48.450576,-123.383426
439,Mt. Laurel,NJ,39.935819,-74.909185
440,Kansas City,,38.9143473,-94.4284985
441,New York,NY,40.606061,-73.822331
442,Paris,,48.8780596,2.3283853
445,Seattle,WA,47.6139472,-122.327807
446,Hamburg,,53.540804,9.993586
447,North Palm Beach,FL,26.820375,-80.058401
448,Cambridge,MA,42.375392,-71.118487
449,Maynard,MA,42.431555,-71.483077
450,Monterey,CA,36.611645,-121.898539
451,Bangalore,,37.09024,-95.712891
452,New York,NY,37.09024,-95.712891
453,Scottsdale,AZ,33.639318,-111.883237
454,piscataway,NJ,40.532457,-74.453466
455,San Francisco,CA,37.7766184,-122.3938931
456,Ramat Gan,,31.046051,34.851612
457,Ramat Gan,,32.068424,34.824785
459,Paris,,48.856667,2.350987
463,San Francisco,CA,37.775196,-122.419204
464,New York,NY,37.09024,-95.712891
465,,,37.09024,-95.712891
466,Palo Alto,CA,37.4418834,-122.1430195
467,,,37.09024,-95.712891
468,San Francisco,CA,37.7749295,-122.4194155
469,,,37.09024,-95.712891
470,New York,NY,40.74727,-73.9800645
471,New York,NY,40.740231,-73.985433
472,Paris,,48.882434,2.297035
473,Pasadena,CA,37.40721,-122.077602
474,San Francisco,CA,37.775196,-122.419204
477,Santa Monica,CA,34.01052,-118.495981
479,San Francisco,CA,37.7876952,-122.3991505
480,New York,NY,40.755978,-73.990396
481,Durham,NC,35.996157,-78.902115
482,Durham,NC,35.9939,-78.8986
484,,NY,40.7508,-73.996122
485,New York,NY,40.752516,-73.973072
486,Redwood City,CA,37.486368,-122.230116
487,Tel-Aviv,,32.0554,34.7595
488,New York,NY,40.757929,-73.985506
489,,,47.680496,-122.120938
490,Austin,TX,29.804863,-95.49158
491,Almere,,52.373812,4.890951
492,Richardson,TX,32.959908,-96.70737
493,Austin,TX,30.402252,-97.748795
494,Menlo Park,CA,37.478769,-122.140896
495,Burlington,MA,42.524527,-71.137784
496,Pasadena,TX,37.09024,-95.712891
497,San Francisco,CA,37.870258,-122.272513
498,Austin,TX,30.268236,-97.740651
499,New York,NY,40.757929,-73.985506
500,Co. Sligo,,54.2762569,-8.4589896
502,Seattle,WA,47.600818,-122.334117
503,Edison,NJ,40.565602,-74.331811
504,New York,NY,37.402802,-122.117418
505,Venice,CA,33.994162,-118.46371
508,Redwood City,CA,37.476479,-122.221717
509,San Francisco,CA,25.752358,-80.25468
510,Redwood Shores,CA,37.09024,-95.712891
511,Perth,,-31.9554,115.85859
512,San Francisco,CA,37.392443,-122.072517
513,New York,NY,40.797364,-73.97785
514,Sunnyvale,CA,37.385225,-121.991912
517,San Francisco,CA,37.763652,-122.421778
518,San Francisco,CA,37.775196,-122.419204
519,Seattle,WA,47.6399006,-122.1914274
522,Chicago,IL,41.883551,-87.636411
523,Palo Alto,CA,37.400821,-122.131383
525,San Francisco,CA,37.795191,-122.430411
526,San Francisco,CA,37.798853,-122.398599
527,Perth Amboy,NJ,40.521502,-74.275771
528,San Diego,CA,32.718834,-117.163841
531,Los Angeles,CA,34.047312,-118.445243
533,PARIS,,48.862063,2.35022
535,San Francisco,CA,37.765158,-122.404234
541,Brno,,49.2259017,16.5692822
544,,,37.09024,-95.712891
549,London,,51.522413,-0.0926903
550,Oxford,,51.7319786,-1.2063327
552,,,37.09024,-95.712891
553,Kolkata,,22.572646,88.363895
554,,,52.132633,5.291266
555,,,37.09024,-95.712891
557,Arvada,CO,39.851338,-105.139804
558,Linkoping,,58.415755,15.625419
559,Denver,CO,39.758126,-105.01277
560,Palo Alto,CA,37.766909,-122.406676
561,San Francisco,CA,37.7891288,-122.4020276
562,Brookline,MA,42.33222,-71.11829
563,Boulder,CO,40.01621,-105.28131
565,Limerick,,52.6638571,-8.6267726
566,London,,51.5001524,-0.1262362
568,Santa Monica,CA,34.031764,-118.461884
569,,,48.416421,-123.376129
570,San Francisco,CA,37.2906027,-121.9317853
571,San Francisco,CA,37.775196,-122.419204
572,San Francisco,CA,37.788266,-122.403865
573,Cambridge,MA,42.398424,-71.130297
574,Palo Alto,CA,37.4441726,-122.1632941
575,,,37.09024,-95.712891
576,Stockholm''',,59.3412176,18.0614125
577,San Francisco,CA,37.788827,-122.38944
578,Berkeley,CA,37.864256,-122.26694
579,Mountain View,CA,37.392962,-122.079114
580,Palo Alto,CA,37.550954,-122.315396
583,Louisville,KY,38.257035,-85.717393
584,London,,51.500152,-0.126236
585,Nashua,NH,42.710437,-71.44698
586,Tolouse,,43.604071,1.434685
588,Reston,VA,38.9530391,-77.3479238
589,Pittsburgh,PA,40.442297,-79.994908
590,Honolulu,HI,21.338849,-157.837351
591,West Hollywood,CA,34.096359,-118.371279
593,Whistler,,50.123306,-122.96391
594,Kirkland,WA,47.704875,-122.187925
595,Philadelphia,PA,39.952229,-75.162644
596,Vancouver,,49.285173,-123.095238
597,Seattle,WA,47.6064,-122.3308
598,Los Angeles,CA,34.128046,-118.289065
599,Sydney,,-34.054416,151.039775
600,Alameda,CA,37.773545,-122.278487
601,Seattle,WA,47.599136,-122.334393
602,,NY,40.757929,-73.985506
604,San Jose,CA,37.312676,-121.965784
606,,CA,37.269175,-119.306607
607,London,,51.500152,-0.126236
609,Seattle,WA,47.680496,-122.120938
610,New York,NY,40.707253,-74.007413
611,Doha,,25.2948,51.5082
614,South San Francisco,CA,37.65466,-122.40788
615,Lantau Island,,22.266141,113.997909
616,New York,NY,40.715145,-74.005897
617,San Francisco,CA,37.790032,-122.404488
618,East Brunswick,NJ,40.407946,-74.411658
619,Westminster,CO,39.89674,-105.07359
620,Bellevue,WA,47.6097449,-122.196699
621,Los Angeles,CA,34.059721,-118.425401
622,Philadelphia,PA,39.9564403,-75.1961715
623,Palo Alto,CA,37.383844,-121.918319
624,Manchester,,53.443183,-2.318142
625,San Francisco,CA,37.776467,-122.395792
626,Acton,MA,42.445825,-71.434135
627,Portland,OR,45.446475,-122.773646
628,Linz,,48.305996,14.285917
629,New York,NY,40.75033,-73.968173
630,Palo Alto,CA,37.451255,-122.117133
631,San Francisco,CA,37.7776778,-122.3921102
632,Toronto,,43.670233,-79.386755
633,San Jose,CA,37.244187,-121.9053
634,Roseville,CA,38.744194,-121.234636
635,Seattle,WA,47.66274,-122.300863
636,New York,NY,40.744837,-73.983843
637,,FL,26.524058,-80.064158
638,Los Angeles,CA,34.064629,-118.469316
639,Seattle,WA,47.634444,-122.3419
640,San Carlos,CA,37.494965,-122.267654
641,Roubaix,,50.694712,3.165225
642,London,,51.5220072,-0.0766034
644,Munich,,48.124827,11.556452
645,London,,51.5248598,-0.0836311
646,Hong Kong,,22.2799907,114.1587983
647,Paris,,48.857993,2.381153
648,Williamsville,NY,42.9241,-78.8144
649,Kennebunk,ME,43.407099,-70.5745187
650,Santa Monica,CA,34.052187,-118.243425
651,Scottsdale,AZ,33.610015,-111.907962
652,Redwood City,CA,37.522281,-122.258139
653,Shanghai,,31.222222,121.475
654,Shanghai,,31.222222,121.475
655,Toronto,,43.646599,-79.403014
656,New York,NY,40.743662,-73.984268
657,New York,NY,40.743662,-73.984268
659,Hannover,,52.3653872,9.7580413
660,New York,NY,40.725568,-73.998208
661,columbus,OH,39.976837,-83.042051
662,Seattle,WA,47.620716,-122.347533
663,,,-25.274398,133.775136
665,,,37.09024,-95.712891
666,Mill Valley,CA,37.905544,-122.547445
667,Pittsburgh,PA,40.442796,-79.996384
668,San Francisco,CA,37.7876175,-122.4033943
669,Dallas,TX,32.812748,-96.739399
671,,,37.09024,-95.712891
672,Tel Aviv,,32.0554,34.7595
673,Menlo Park,CA,37.454701,-122.1853756
675,Austin,TX,30.379593,-97.765313
676,Scottsdale,CA,33.5060338,-111.9261618
677,Bangalore,,35.929723,139.605025
678,Washington,DC,38.920066,-77.072331
679,Melrose,MA,42.461373,-71.079117
680,Los Angeles,CA,37.446823,-122.161523
681,Beverly Hills,CA,34.0698494,-118.4054182
682,North Miami Beach,FL,25.929683,-80.168256
683,,,31.046051,34.851612
684,Lambertville,NJ,40.363934,-74.896109
687,Millstone Township,NJ,40.219214,-74.370313
688,Stockholm,,59.332788,18.064488
690,Austin,TX,30.281531,-97.735719
691,Seattle,WA,47.620716,-122.347533
693,Coral Gables,FL,25.705057,-80.271378
695,Paris,,48.856667,2.350987
697,Portland,ME,43.657058,-70.253959
698,Austin,TX,30.27646,-97.746387
699,San Jose,CA,37.308591,-122.031476
700,San Francisco,CA,37.7766587,-122.395875
702,Raleigh,NC,35.898459,-78.650931
703,San Francisco,CA,37.775196,-122.419204
706,Minneapolis,MN,44.977482,-93.264351
707,Sunnyvale,CA,37.371861,-121.999306
708,Lincoln,NE,40.748578,-96.666242
709,London,,51.5211159,-0.0778345
710,"Edmonton, Alberta",,53.4665377,-113.5291728
712,Cambridge,MA,42.36787,-71.078258
713,Newton,MA,42.337037,-71.251748
714,,CA,37.269175,-119.306607
715,Palo Alto,CA,37.425773,-122.144271
717,New York,NY,40.752672,-73.97593
720,San Diego,CA,32.936973,-117.240431
721,New York,NY,40.787783,-73.976413
723,Bethesda,MD,38.9892639,-77.0978424
726,,,52.132633,5.291266
727,Austin,TX,30.268735,-97.745209
728,Gainesville,FL,29.6502461,-82.3230981
729,Burlingame,CA,37.590056,-122.347654
730,Berkeley,CA,37.87168,-122.269494
731,New York,NY,40.7431477,-73.9934288
732,San Mateo,CA,37.534317,-122.294847
733,Chicago,IL,42.010632,-87.66831
734,Stockholm,,59.336527,18.077451
735,Mountain View,CA,37.40384,-122.07808
737,Los Angeles,CA,33.954874,-118.396507
738,Sunnyvale,CA,37.384206,-121.992805
739,Seattle,WA,47.613896,-122.3413
740,Chicago,IL,41.886368,-87.641739
741,Los Gatos,CA,40.757929,-73.985506
742,San Diego,CA,32.912063,-117.114827
743,San Francisco,CA,37.787126,-122.39783
744,Barcelona,,41.387917,2.169919
745,New York,NY,40.723652,-73.985281
746,Las Vegas,NV,36.225757,-115.217851
747,New York,NY,40.757929,-73.985506
748,Del Mar,CA,34.423403,-119.704416
749,Madison,WI,43.063193,-89.400702
750,New York,NY,40.794985,-73.96831
751,Austin,TX,30.414146,-97.807032
754,Palo Alto,CA,37.4784804,-122.1514101
755,Kauniainen,,60.214102,24.704663
756,Philadelphia,PA,39.951639,-75.163808
757,New York City,NY,40.646166,-73.889492
758,Alhambra,CA,34.091562,-118.13461
760,Redwood City,CA,37.503147,-122.211435
761,New York City,NY,40.757929,-73.985506
765,San Francisco,CA,37.783151,-122.393323
766,Seattle,WA,47.620716,-122.347533
768,Lisbon,,38.707163,-9.135517
769,Palo Alto,CA,37.445326,-122.160671
770,Bellevue,WA,47.617453,-122.201668
771,Toronto,,43.64226,-79.374889
773,New York,NY,40.757929,-73.985506
774,"New York,",NY,40.706527,-74.011827
775,Providence,RI,41.826956,-71.408718
776,San Francisco,CA,37.80294,-122.266978
777,,CA,37.419156,-122.075413
778,New York,NY,40.8587524,-73.7258199
779,El Dorado Hills,CA,38.673971,-121.04442
780,San Francisco,CA,41.948365,-87.646307
781,Midland,MI,43.626128,-84.227415
782,Berlin,,52.502633,13.441005
783,Spring,TX,30.054922,-95.47728
784,Toronto,,43.666953,-79.388279
785,San Francisco,CA,37.776467,-122.395792
786,Maroochydore,,-26.665908,153.088303
787,,,-14.235004,-51.92528
788,Richardson,TX,32.974194,-96.714066
789,Madison,WI,43.063193,-89.400702
791,New York,NY,40.757929,-73.985506
792,Rome,,41.980591,12.507358
795,San Francisco,CA,37.7809512,-122.4025016
796,Niort,,46.330771,-0.474933
797,Co Cork,,51.7335021,-8.7542918
798,,MA,42.037302,-71.683502
799,Derry,NH,42.894414,-71.316744
800,Burlington,MA,42.489827,-71.223359
801,,,37.09024,-95.712891
802,London,,51.5320478,-0.011154
803,Miami,FL,25.774252,-80.190262
804,Tuscaloosa,AL,33.206307,-87.527245
806,Chicago,IL,41.88583,-87.657354
807,San Francisco,CA,37.758229,-122.439512
808,San Francisco,CA,37.7955307,-122.4005983
809,Collingwood,,-37.8026587,144.9868546
810,Berlin,,52.4986199,13.4469031
811,Beijing,,39.905556,116.395833
812,,,52.216917,5.18642
813,Los Angeles,CA,34.041037,-118.23341
814,Atlanta,GA,33.859484,-84.387491
815,San Francisco,CA,37.787183,-122.397759
817,Gothemburg,,57.703679,11.965035
818,London,,51.523307,-0.083999
819,,,40.463667,-3.74922
820,San Jose,CA,37.321798,-121.979453
821,Foster City,CA,37.445381,-122.160753
822,Scottsdale,AZ,33.503906,-111.93315
823,Culver City,CA,34.024453,-118.380437
824,San Diego,CA,32.775136,-117.138264
825,New York,NY,40.722655,-73.99873
827,Washington,DC,38.912329,-77.03876
828,Moscow,,52.78945,36.42735
829,Tel Aviv,,32.0554,34.7595
831,Lindon,UT,40.3310529,-111.7276347
832,Rhoon,,51.858203,4.476691
833,Montreal,,45.516545,-73.578477
834,Dulles,VA,38.983393,-77.434128
835,Kingston Upon Thames,,51.4140631,-0.3016459
838,,,37.09024,-95.712891
839,Oslo,,59.915323,10.751367
840,Encino,CA,34.162512,-118.516572
843,Ostfildern,,48.7243517,9.2223731
844,Los Angeles,CA,34.052187,-118.243425
845,Mountain View,CA,37.388022,-122.07431
846,New York,NY,40.746883,-73.983969
847,London,,51.522727,-0.084462
849,New York,NY,40.718871,-74.00118
850,Torrance,CA,33.918151,-118.41747
851,Sachse,TX,32.963205,-96.592839
852,,,35.86166,104.195397
853,Pleasanton,CA,-36.831639,174.794107
854,San Francisco,CA,38.7072,-121.28
855,San Diego,CA,32.718834,-117.163841
856,Beijing,,39.905556,116.395833
857,Seattle,WA,47.693994,-122.349701
858,Seattle,WA,47.693994,-122.349701
859,New York,NY,40.7566658,-73.9827553
861,Snohomish,WA,47.851802,-122.098201
862,Fairfield,IA,41.007625,-91.962789
864,Sacramento,CA,38.583952,-121.491028
865,Bel Air,CA,34.126815,-118.443517
866,Los Angeles,CA,34.047104,-118.434213
867,,ID,45.494552,-114.143262
868,San Francisco,CA,37.775196,-122.419204
870,Toronto,,43.648864,-79.377781
871,Miami,FL,25.9690885,-80.1417742
872,,,56.130366,-106.346771
873,San Francisco,CA,37.800356,-122.402609
874,Los Angeles,CA,34.043948,-118.468204
875,West Dundee,IL,42.091078,-88.288749
878,New York,NY,40.743808,-73.983626
879,Perth,,-31.9554,115.85859
881,Honolulu,HI,21.30829,-157.8086025
